# Broad section-level phrasing so broad questions do not collapse to narrow leaf rules.
eb55a8ec1b5e	what are the food safety requirements at daycare	what are the general food safety rules in child care	what food handling rules does daycare have to follow	what are the kitchen safety and food storage requirements at daycare	what does licensing require for safe food practices in child care	what are the overall food safety rules for daycare meals	what food temperature and storage rules apply at daycare
1f6bb29967fd	what are the medication rules at daycare	how does medication work in child care	what are the general rules for giving medicine at daycare	what medication policies does daycare have to follow	what are the overall medicine rules for licensed child care	what does daycare need in order to give medication	what are the medication handling requirements in child care
5ecea85aa164	what are the emergency preparedness requirements at daycare	what emergency plan rules does daycare have to follow	what are the general emergency preparedness rules for child care	what does licensing require for daycare emergency planning	what emergency drill and planning requirements apply to daycare	what are the emergency response requirements for child care	what has to be in a daycare emergency plan
bb56ec118ee1	what are the center staffing and ratio requirements	what are the staffing rules for a child care center	what are the center ratio and group size rules	what are the general classroom ratio requirements for centers	what does a center have to follow for staffing and capacity	what are the overall center licensing ratios	what are the center staff to child requirements
77dbff83beac	what are the family home staffing and ratio requirements	what are the staffing rules for family home daycare	what are the family home ratio and capacity rules	what does a family child care home have to follow for staffing	what are the general ratio requirements for a home daycare	what are the overall family home licensing ratios	what are the family child care staffing requirements
0daa30f65382	what are the bottle preparation rules at daycare	what are the general bottle rules in child care	how does daycare have to handle bottles	what bottle prep and handling rules apply at daycare	what are the overall formula bottle rules for child care	what does licensing require for preparing infant bottles	what are the daycare rules for bottle storage warming and disposal
f18266dcfe9b	what are the breast milk rules at daycare	what are the general breast milk rules in child care	how does daycare have to handle breast milk	what breast milk storage and labeling rules apply at daycare	what are the overall daycare rules for expressed milk	what does licensing require for breast milk handling	what are the child care rules for storing thawing and discarding breast milk
2f9b52db907b	what are the discipline rules at daycare	what discipline rules does child care have to follow	what behavior management rules apply at daycare	what punishment and discipline are allowed in child care	what are the general discipline requirements for daycare	what does licensing say about discipline in child care	what are the overall daycare rules on behavior and punishment
388676c1d293	what are the general safety requirements at daycare	what safety rules does daycare have to follow overall	what are the basic licensing safety requirements for child care	what are the general hazard prevention rules at daycare	what are the overall child care safety requirements	what does licensing require to keep a daycare safe	what are the general health and safety rules for daycare
c10bc88b0b32	what are the infant feeding rules at daycare	what feeding rules apply to infants in child care	what are the general baby feeding rules at daycare	what does daycare have to follow for infant feeding	what are the overall infant and toddler feeding requirements	what does licensing require for feeding babies at daycare	what are the bottle food and juice rules for infants in child care
0f2a5aa81d48	what are the illness and exclusion rules at daycare	what sickness rules does daycare have to follow	when do children have to be sent home from daycare in general	what are the general sick child and exclusion rules in child care	what illness policies apply at daycare	what are the overall rules for fever vomiting and exclusion at daycare	what does licensing require when children get sick in care
12f46ed71d4a	what are the staff qualification requirements at daycare	what qualifications do daycare workers need	what are the general staff requirements for child care workers	what does someone need before working at a daycare	what are the overall qualifications for licensed child care staff	what education age and background check rules apply to daycare staff	what staffing qualifications does licensing require for child care workers
