# qaId	example1	example2	example3
4ac10461152a	How long can a bottle sit out before I need to throw it away?	how long is a baby bottle good once it has been sitting out	bottle left out when do i need to toss it
d4e8032f81c8	When should I throw away formula?	when does formula need to be discarded	formula bottle when do i dump it out
2e430158ee7b	Can I put a half-finished bottle back in the fridge?	can i refrigerate a bottle after the baby already drank from it	unfinished bottle can it go back in the fridge
fc2dd026b031	How should I warm a baby bottle?	what is the safe way to heat up a baby bottle	best way to warm a bottle for a baby
5b4e06afe07a	Can I microwave a baby bottle?	is it allowed to heat a baby bottle in the microwave	can bottles be microwaved for babies
1492bdeaadf9	How do I sanitize baby bottles?	what is the right way to sanitize infant bottles	how should baby bottles be sanitized at daycare
a48d1e6a26d8	What type of plastic bottles are safe?	which plastic baby bottles are considered safe	what bottles are safe plastic for infants
6b101b576143	How long can leftover food be stored?	how many days are leftovers safe in daycare storage	leftover food how long can we keep it
20576417f174	How long is puree good for after opening?	after opening baby puree how long does it last	opened puree how long is it still good
3014266b9b49	What temperature should the refrigerator be?	what fridge temperature is required for food safety	how cold does the refrigerator need to stay
a2d376c14f91	How cold should the daycare fridge be?	what temperature should the daycare refrigerator run at	daycare fridge how cold is cold enough
c6d36dd9adb6	How should leftover food be stored?	what is the correct way to store leftovers at daycare	how do we keep leftover food safely
ab29c3fd0a03	Can expired food be served to children?	is it ever okay to serve expired food at daycare	can kids be given food past the expiration date
8307282bf05d	What is the center staff to child ratio for infants?	how many infants can one teacher supervise in a center	center infant classroom ratio requirement
11719b90c39b	What is the staff to child ratio for toddlers?	how many toddlers per teacher are allowed	toddler room ratio what is the rule
9e769f5ef6f2	What is the staff to child ratio for preschoolers?	how many preschool children can one teacher have	preschool classroom ratio requirement
0cb3bf89aebc	What is the center staff to child ratio for school-age kids?	how many school age kids can one teacher supervise in a center	center school age ratio requirement
c55a766a9540	How many kids can one teacher watch?	what is the max number of children one teacher can supervise	one teacher how many children are allowed
096eb1b0b855	What is the maximum group size for infants in a center?	how large can a center infant group be	max infant group size in a child care center
d7940def977c	When should staff wash their hands?	what times are staff required to wash their hands	daycare staff when do they need handwashing
652c86d7bf1b	When should children wash their hands?	when are children supposed to wash their hands	at what times do kids need handwashing
d329dea255c7	How long should you wash hands for?	how many seconds should handwashing last	required handwashing length in seconds
583aa75914b3	Can children use hand sanitizer?	are kids allowed to use hand sanitizer at daycare	is hand sanitizer okay for children
d3f8e3e1d7b4	Who can give medication to children at daycare?	which staff members are allowed to administer medicine	who is permitted to give a child medication
ea00305ca2ac	What are the rules for giving medication to children?	what has to happen before daycare can give medicine	medication administration rules for children
044f6efdd66f	How should medication be stored at daycare?	what is the proper way to store children's medicine	where and how does daycare keep medication
c46f964f5517	Can daycare give my child melatonin or sleep medicine?	is melatonin allowed at daycare for a child	can a center give sleep medication to my child
9822e22bd02c	Does daycare need permission to apply sunscreen?	does a daycare need parent permission for sunscreen	can staff put sunscreen on my child without consent
418264ea8722	What are the diaper changing procedures?	what steps must staff follow during diaper changes	daycare diaper changing process what is required
d4e9cda7818d	Where should the diaper changing area be located?	where does the diaper changing station need to be placed	location requirements for diaper changing area
8ba0f49b49e2	Can children be left alone on the changing table?	is it okay to step away while a child is on the changing table	can a child ever be unattended on a changing table
3c3293b1cb6d	What are the requirements for cloth diapers?	what are the daycare rules for cloth diapers	cloth diaper policy requirements
fafa1571d45b	Do children have to take naps at daycare?	are kids required to nap during daycare	do children have to sleep at rest time
eac24d91ca2c	What are the requirements for nap mats and cots?	what standards do nap mats and cots have to meet	rules for cots and sleep mats at daycare
324ad010c24c	How far apart should nap mats be spaced?	how much distance is needed between nap mats	sleep mats how far apart do they go
9eb13075874c	Can children sleep directly on the floor?	is sleeping right on the floor allowed at daycare	can kids nap without a mat or cot
b5ea7cd5d7f2	Can babies use blankets in cribs at daycare?	are blankets allowed for infants in daycare cribs	can an infant have a blanket in the crib
9cae79e8085a	What position should babies sleep in?	how are infants supposed to be placed for sleep	what sleep position is required for babies
af7b0d5db8d8	How often should sleeping infants be checked?	how frequently do staff need to check sleeping babies	sleeping infant checks how often
eede0d24dd7d	What are the safe sleep requirements for infants?	what safe sleep rules apply to infants at daycare	infant safe sleep requirements in child care
6f8f2ced4b98	Is first aid training required for daycare staff?	do daycare workers have to be trained in first aid	is first aid certification required for staff
0ed88af8e1ec	Do daycare teachers need CPR certification?	do child care staff need CPR certification	is CPR required for daycare teachers
b16313103db0	What must be in a first aid kit at daycare?	what items are required in a daycare first aid kit	what does the first aid kit need to contain
de457c3e7c47	When should a sick child be sent home from daycare?	when does illness mean a child has to go home	from daycare when should a sick child be excluded
448fdefea02c	What fever requires a child to be sent home?	at what fever does daycare have to send a child home	what temperature counts as send-home fever
b22d5554cac7	Can a child with lice come to daycare?	are children with head lice allowed to attend	can a kid stay in daycare with lice
7a7150017d25	When can a child return to daycare after being sick?	when is a child allowed back after illness	return to daycare after being sick when
ab741bbed5a1	How many times can a child vomit before being sent home?	after how many vomiting episodes does a child go home	vomiting at daycare when must the child be sent home
8c03e650cc2d	Can daycare take a child's temperature rectally?	is a rectal temperature allowed in daycare	can staff take a child's temperature rectally
7522459dfed7	do children have to play outside every day	how long do children need outdoor play each day	required amount of outdoor play time
183c78dc9649	Do children have to play outside every day?	do kids need daily outdoor play in daycare	is outside time required every day
5af4ea5828b2	Is TV allowed at daycare?	can daycare use television with children	is screen tv time permitted at daycare
783d1f915823	Is timeout allowed at daycare?	can staff use timeout as discipline	is timeout permitted in child care
2069f9951360	Can daycare workers yell at children?	are staff allowed to yell at kids at daycare	can teachers raise their voices at children
e1c320f4659e	Is spanking allowed at daycare?	can daycare staff spank a child	is corporal punishment allowed in daycare
489f88ec91d8	Who can pick up my child from daycare?	who is allowed to pick up a child from daycare	can anyone pick up my child or only approved people
4bc4b9f45bc1	What immunizations are required for daycare?	which vaccines are required for child care attendance	daycare immunization requirements
c19399d40a2e	Can unvaccinated children attend daycare?	are kids without vaccines allowed in daycare	can an unvaccinated child enroll
7785547423d3	How do I file a complaint about a daycare?	where do i report a daycare complaint	how can i submit a complaint against a child care program
f56986064923	What incidents must daycare report to parents?	what kinds of incidents have to be reported to families	when does daycare have to notify parents about an incident
24bd2b0d3487	Must children always be supervised at daycare?	do kids have to be supervised at all times	can daycare ever leave children without supervision
e02ed546ea89	Can children be left alone at daycare?	can a child ever be unsupervised in daycare	is it allowed to leave kids alone
36094ffa9ac8	What are the requirements for a fire drill at daycare?	what does daycare have to do for fire drills	fire drill requirements for child care
4c34b7ed9820	What do I do during a fire at daycare?	what should staff do if there is a fire at daycare	fire response steps at child care
0dd09088d692	Does daycare need an emergency plan?	is an emergency preparedness plan required for daycare	does a child care center need a written emergency plan
cc721b3bd905	How tall does a daycare fence need to be?	how high does the outdoor daycare fence have to be	required fence height for child care playground
7e77cf7b9b21	What background check is required for daycare workers?	what kind of background screening do daycare staff need	required background check for child care employees
bd828572bbcf	Do daycare workers need fingerprints?	are fingerprints required for daycare staff	do child care workers have to be fingerprinted
82ad216ecb55	How old do you have to be to work at a daycare?	minimum age to work in a daycare	how old must a daycare employee be
c5de14f409cd	What training is required for daycare workers?	what training do child care staff have to complete	required training for daycare employees
73386fda6a08	How often do staff need training?	how often must daycare staff complete training	training frequency requirement for child care staff
751fe768907a	How many square feet per child is required?	how much indoor square footage is required per child	space requirement per child indoors
6ab31d023460	Can babies share bottles or cups?	is it okay for infants to share bottles or cups	can babies use the same cup or bottle
0ec6a3acb3d7	How should breast milk be labeled and stored at daycare?	what is the correct way to label and store breast milk at daycare	breast milk labeling and storage rules in child care
312f6b345f7a	Can daycare feed my baby formula without permission?	can staff give formula without parent authorization	does daycare need permission before giving formula
5fe8d9598908	What are the requirements for mixed age groups?	what rules apply when ages are mixed in one group	mixed age group requirements in daycare
445169fff0e7	How far should bottle prep be from diaper changing?	how far must bottle preparation be from diapering area	distance required between bottle prep and diaper changing
a32b6450eef3	What foods need to be refrigerated at daycare?	which foods must stay refrigerated in child care	what kinds of daycare food have to be kept cold
5d5504563e6d	Where should raw meat be stored?	how should raw meat be stored in the fridge	where in storage does raw meat go
220fdcf0b1c9	Can kids use bunk beds at daycare?	are bunk beds allowed in daycare	can children sleep in bunk beds at child care
c2063543bcc4	How often should bedding be washed at daycare?	how often does daycare need to wash bedding	bedding laundry frequency in child care
01e73db75939	Can infants use sleep positioners?	are infant sleep positioners allowed at daycare	can babies sleep with wedges or positioners
e6a767be9cae	What happens if my child gets hurt at daycare?	what is daycare supposed to do if my child is injured	if a child gets hurt at daycare what happens next
d41a1bfc7ddb	Does daycare need to tell me about outbreaks?	do parents have to be notified about outbreaks at daycare	must the center report disease outbreaks to families
5ba08d395c4f	Can I bring food from home for my child?	am i allowed to send food from home to daycare	can parents provide their own food for a child
e18d1a1798fd	What if my child has food allergies?	how does daycare handle a child's food allergies	what rules apply when a child has food allergies
12ba3287ff87	How small should food be cut for infants?	what size should food pieces be for infants	how should infant food be cut to avoid choking
ddb74793102e	What size food pieces are safe for babies?	how small do baby food pieces need to be	safe food piece size for babies
e1c8ae1ad62a	Can infants drink juice?	is juice allowed for infants at daycare	can babies under one have juice
451a20b1d383	When can babies have juice?	at what age can babies be given juice	when is juice allowed for babies
9a5fe74a8b83	What temperature should water be for children?	how hot can the water be for children	safe water temperature for children
fbf57c02bdaf	What is the maximum water temperature allowed?	what is the hottest water temperature permitted	max allowed water temperature in child care
7e63516d91e8	What temperature should the room be at daycare?	what room temperature should daycare maintain	how warm or cool should the daycare room be
3d5c21bc5853	What indoor temperature is required?	required indoor temperature for daycare	what temperature does the inside of daycare need to be
d5fe19825a9c	What are choking hazards for infants?	what items count as choking hazards for infants	infant choking hazards what is not allowed
6fb64cdf90f9	What objects are choking hazards?	which objects are considered choking hazards	choking hazard objects at daycare
1d5d15984601	What discipline methods are prohibited at daycare?	which discipline methods are not allowed in daycare	prohibited ways to discipline children
fffd6efa394a	What punishment is not allowed at daycare?	what kinds of punishment are forbidden in child care	daycare punishment rules what is banned
