# Final routing/disambiguation tranche for the remaining runtime misses.
5108eb006a56	how many infants can a family home have	home daycare baby ratio when two staff are present	home daycare babies ratio when there is a helper	family home infant ratio with two staff present	family daycare infant ratio with helper
6e98e2bc67af	family child care school age only	max school age children for one family home provider	school age capacity for a family home provider working alone	family home school age only capacity rule	max school age children for one provider in family child care
41543a55523a	how many older children can one family home provider watch	how many ages three through twelve can one home daycare provider care for	older child capacity for one family child care provider	family home children ages three to twelve limit	how many older kids can a home daycare take with one provider
31c75b4ed12d	when does a family home daycare need a second staff person	when are two adults required in family child care	when does a family home provider need help on site	two staff trigger for family home child care	when is a second caregiver required in a family home
c19399d40a2e	are kids without vaccines allowed in child care	is a child allowed in care without being fully vaccinated	unvaccinated child care attendance	child admission rule when shots are missing	can daycare accept a child who is behind on vaccines
4bc4b9f45bc1	shots needed for daycare entry	which vaccines are required before starting child care	immunization list for daycare enrollment	required shot records for daycare entry	what vaccine paperwork is needed for daycare
3d5c21bc5853	what temperature does the inside of daycare need to be	how warm or cool must the room inside daycare stay	indoor temperature rule for licensed child care	temperature indoors in a daycare building	inside daycare room temperature requirement
e6a767be9cae	must providers immediately contact the parent after a serious injury	if a child has a serious injury do they have to call the parent right away	parent notification after serious injury in child care	serious injury call to parent rule at daycare	do they have to contact guardians immediately after a major injury
f56986064923	what must a center notify parents about	what parent notices are required after a daycare incident	which incidents require parent notification from a daycare	center reporting duties to parents after an event	what events does child care have to report to guardians
183c78dc9649	do kids have to go outside ever day	is outdoor time required each day in child care	do children have to go outside daily at daycare	must child care schedule outdoor play every day	daily outside requirement for children in care
853b9bb5954f	do children need to play outside	outdoor play area space requirement for children	required outdoor square footage per child at daycare	how much outdoor room does each child need in care	minimum outdoor play space requirement in child care
d7940def977c	daycare staff when do they need to wash hands	when do caregivers have to wash their hands at daycare	what moments require staff handwashing in child care	staff handwashing times for providers	when must daycare staff wash up
73386fda6a08	training frequency requirement for child care	ongoing in service training frequency rule	how often does staff in service training have to happen	required annual training frequency for daycare staff	child care continuing training schedule rule
5fe8d9598908	mixed age group requirements in daycare	mixed ages in one group rules	rules for having different ages together in one class	multi age grouping requirements in child care	what happens when a daycare group has mixed ages
4ac10461152a	room temperature bottle time limit	bottle left out at room temp how long	formula bottle left out in the room discard time	how long can a bottle stay on the counter at daycare	room temp bottle rule for child care
0ec6a3acb3d7	what has to be written on a breast milk bottle at daycare	breast mlki bottle labeling at daycare	pumped milk label requirement in child care	child name and date on breast milk bottles	do providers have to label breast milk containers
103103c39659	where does expressed milk stay after dropoff in daycare	where should staff keep pumped breast milk while caring for the baby	daycare storage spot for pumped milk during the day	where is expressed milk supposed to be kept in care	what location should providers use for expressed milk storage
56b91ebf1383	food temperature in daycare kitchen	serving temperature rule for food at child care	how hot or cold does daycare food have to stay	holding temperature requirement for child care meals	food must be kept at what temperature in daycare
c6d36dd9adb6	how should leftover food be stored after serving	leftover food storage method for daycare meals	do leftovers need to be covered and refrigerated at child care	proper way to store remaining food in daycare kitchen	what is the correct storage method for daycare leftovers
