# qaId	example6	example7	example8
49f945c41edb	kid has a fever what temp means send home	daycare exclusion temperature for a child	what thermometer reading means they cannot stay
de457c3e7c47	what symptoms mean daycare has to exclude a sick child	does a child get sent home for illness signs	send home rules for sick kids in care
448fdefea02c	fever cutoff for excluding a child from care	temperature threshold for daycare exclusion	what fever reading triggers send home
7a7150017d25	child was sick when are they allowed back	return to care after contagious illness	when can daycare readmit a child after sickness
ab741bbed5a1	vomited twice can they stay at daycare	vomit count that triggers exclusion	throwing up threshold for send home
8c03e650cc2d	are rectal thermometers prohibited in daycare	can staff take a rectal temp on a toddler	what kind of temperature method should daycare use instead of rectal
d41a1bfc7ddb	do families have to be told about contagious disease outbreaks	when must the center notify parents about an outbreak	outbreak notice timing for daycare
d7940def977c	what moments require staff handwashing	in what situations must caregivers wash their hands	before and after what tasks do staff have to wash
652c86d7bf1b	when do children need to wash their hands at child care	what times are kids directed to wash hands	do children wash hands after outdoor play and before meals
d329dea255c7	how long is the required handwashing scrub time	minimum seconds for soap and water handwashing	wash hands for twenty seconds or longer
583aa75914b3	can kids use sanitizer if there is no sink	hand sanitizer rules for children over two	is sanitizer only allowed when hands are not visibly dirty
d1e78a705aec	what are the mandatory staff handwashing times	staff handwashing triggers in daycare	when exactly do providers have to wash their hands
6b101b576143	how many days can leftovers stay in the fridge	leftover time limit before throwing it out	how long may stored leftovers be kept
ae64bcfb9dac	when are leftovers no longer safe to serve	leftover safe to eat deadline in daycare	how long until leftovers have to be discarded
c6d36dd9adb6	do leftovers need labels and airtight containers	proper way to package and date leftovers	how should daycare store leftover food safely
3014266b9b49	refrigerator temperature maximum for child care	what fridge temp keeps food safe in daycare	food safety refrigerator setting requirement
56b91ebf1383	what temperature should cold food storage stay at	required temp for refrigerated food in care	how cold does stored daycare food need to be
a32b6450eef3	which foods have to be kept refrigerated at daycare	what items cannot be left out on the counter	what daycare foods must stay cold
5d5504563e6d	does raw meat have to go below ready to eat food	raw meat shelf placement in fridge	where should uncooked meat be kept
ab29c3fd0a03	can you serve kids food past the use by date	is expired daycare food ever okay	must expired food be thrown away
7e77cf7b9b21	are child care employees required to clear a background check	do staff need chapter 110 06 screening	before working must daycare staff pass a background check
bd828572bbcf	are fingerprints part of daycare hiring screening	do child care hires get fingerprint based screening	fingerprint requirement for daycare staff clearance
c5de14f409cd	what training must staff complete before working	required classes and certificates for daycare workers	preservice and required training for child care staff
