# qaId	realworld1	realworld2	realworld3	realworld4	realworld5
0ec6a3acb3d7	how is breast milk supposed to be stored once i bring it in	do they refrigerate expressed milk right away at daycare	does my breast milk need my baby's name and the date on it	where should daycare keep pumped milk during the day	what are the breast milk storage rules for child care
312f6b345f7a	can daycare give formula to my breastfed baby without asking me first	do they need my consent before offering formula instead of breast milk	can staff feed formula to a breastfed infant if i did not approve it	first do i have to okay formula for my breastfed baby at daycare	can they switch my breastfed baby to formula without parent consent
5ba08d395c4f	am i allowed to send food from home for my child	can i pack lunch from home for daycare	do parents get to provide their child's meals at daycare	may i bring my own food for my kid in child care	can families send meals from home instead of daycare food
f56986064923	what incidents do they have to report to parents	what kinds of emergencies must daycare tell families about	what must a center notify parents about after an incident	which child care incidents have to be reported to guardians	what events involving my child must daycare report to me
e6a767be9cae	if my child gets hurt there do they have to tell me	does daycare have to call me if my kid is seriously injured	what happens if my child needs emergency care at daycare	when must a provider notify parents about an injury at child care	if my child is hurt in care how soon do they have to report it
82ad216ecb55	how old do you have to be to work at a daycare	can a teenager work at daycare	what is the minimum age for daycare workers	can a 14 year old work in child care	how old must someone be before working in a daycare
783d1f915823	can they use timeout	is timeout allowed in daycare	can staff separate a child to calm down	is a cool down break allowed in child care	can a preschooler be separated from the group to regain control
fd51cd1e952e	what temp counts as a fever for an infant	infant fever definition for daycare	wath temperature counts as a fever in an infant	what is considered a fever for a baby under two months in child care	what fever reading for a young infant matters for exclusion
448fdefea02c	what fever gets a kid sent home from childcare	what temperature means a child has to go home from daycare	fever cutoff for excluding a child from care	what fever reading triggers send home from daycare	daycare send home fever threshold for kids
86d0632ff7c5	how often does daycare have to do fire drills	how many times a year are fire drills required at child care	fire drill frequency for daycare	center fire evacuation drill schedule requirement	how often must child care practice a fire drill
36094ffa9ac8	what are the fire drill requirements for daycare	what has to happen during daycare fire drills	do they have to record child care emergency drills	what does the emergency drill log need to include at daycare	what kinds of emergency drills must the center practice
6b101b576143	how long can daycare keep leftovers before tossing them	how many days may child care keep leftover food	leftovers time limit in the fridge at daycare	when are leftovers no longer okay to serve at child care	how long can prepared daycare food be saved
d7940def977c	when exactly do staff need to wash their hands	what are all the times caregivers must wash their hands	at what moments does daycare staff have to wash hands	staff handwashing triggers in child care	what tasks require handwashing for providers
9822e22bd02c	do they need my permission to put sunscreen on him	does daycare need yearly parent permission for sunscreen	can staff apply sunscreen only if i authorize it	must parents approve sunscreen at child care	do i have to sign off before sunscreen can be used
