# qaId	example4	example5
4ac10461152a	baby bottle sat out too long now what	bottle expiration after sitting on the counter
d4e8032f81c8	formula discard timing rule	when is prepared formula no longer usable
2e430158ee7b	can i save the rest of a bottle for later	do i have to throw out a bottle after feeding
fc2dd026b031	safe bottle warming method	bottle heating rule for daycare staff
5b4e06afe07a	microwaving infant bottle allowed or not	is microwave heating banned for baby bottles
1492bdeaadf9	bottle sanitizing steps for daycare	staff cleaning and sanitizing bottles
a48d1e6a26d8	safe bottle plastic type	which plastic baby bottles should we use
6b101b576143	leftovers storage time limit	how long can daycare keep leftover food
20576417f174	opened puree shelf life at daycare	baby puree after opening how long can we keep it
3014266b9b49	required refrigerator temperature	fridge temp rule for food safety
a2d376c14f91	child care refrigerator temperature rule	licensed daycare fridge temp requirement
c6d36dd9adb6	leftovers storage procedure	how should staff package and store leftovers
ab29c3fd0a03	expired food daycare rule	can staff serve food after the expiration date
8307282bf05d	center infant staff ratio washington	one center teacher for how many infants
11719b90c39b	toddler staff ratio washington	one teacher for how many toddlers
9e769f5ef6f2	preschool ratio washington	one teacher for how many preschoolers
0cb3bf89aebc	center school age ratio washington	one teacher for how many school age children in a center
c55a766a9540	max kids per teacher in daycare	teacher supervision limit child count
096eb1b0b855	center infant group size limit	how many infants can be grouped together in one center room
d7940def977c	staff handwashing moments	licensing rule for when staff wash hands
652c86d7bf1b	children handwashing moments	when do daycare kids need to wash up
d329dea255c7	handwashing seconds required	exact handwashing duration rule
583aa75914b3	kids using sanitizer okay	is hand sanitizer allowed instead of soap for kids
d3f8e3e1d7b4	authorized medication staff	who is approved to administer medicine
ea00305ca2ac	daycare medication rules	parent permission and medication requirements
044f6efdd66f	medicine storage method	how to keep medication safe at daycare
c46f964f5517	melatonin allowed in child care	sleep aids daycare medication rule
9822e22bd02c	parent consent for sunscreen	is written permission needed for sunscreen
418264ea8722	diaper change step by step	required diapering procedure in child care
d4e9cda7818d	where should diaper station be	setup rule for diaper changing area
8ba0f49b49e2	unattended child on changing table	can staff walk away during diapering
3c3293b1cb6d	cloth diaper daycare rules	what does daycare require for cloth diapers
fafa1571d45b	required naps at daycare	can a child stay awake during rest time
eac24d91ca2c	cot and nap mat standards	sleep equipment requirements for daycare
324ad010c24c	sleep mat spacing rule	required distance between cots and mats
9eb13075874c	sleeping on floor permitted	is a bare floor nap allowed
b5ea7cd5d7f2	infant crib blanket rule	can a baby have bedding in a crib
9cae79e8085a	infant sleep position rule	do babies have to be placed on their backs
af7b0d5db8d8	sleeping baby check frequency	staff infant nap checks how often
eede0d24dd7d	infant safe sleep checklist	full safe sleep rules for infants
6f8f2ced4b98	first aid certification needed for staff	do all caregivers need first aid training
0ed88af8e1ec	cpr needed for daycare staff	are teachers required to know infant cpr
b16313103db0	required first aid kit contents	what supplies have to be in the first aid kit
de457c3e7c47	sick child exclusion rule	when must daycare exclude a sick child
448fdefea02c	send home fever number	fever cutoff for staying at daycare
b22d5554cac7	head lice daycare attendance rule	is lice an automatic send-home issue
7a7150017d25	return after illness daycare rule	when can a child come back after being sick
ab741bbed5a1	vomiting send home threshold	how many times can a child throw up at daycare
8c03e650cc2d	rectal thermometer rule	can daycare staff use rectal temps
07c78450a210	outdoor play area activity requirements	what kinds of active play must the outdoor area support
183c78dc9649	outside every day requirement	is daily outdoor play mandatory
5af4ea5828b2	television use rule at daycare	can kids watch tv in child care
783d1f915823	timeout discipline rule	is timeout considered allowed discipline
2069f9951360	yelling at daycare kids allowed	verbal discipline yelling rule
e1c320f4659e	spanking in daycare allowed	corporal punishment daycare rule
489f88ec91d8	authorized pickup adults	who can be listed for child pickup
4bc4b9f45bc1	required vaccines for daycare	entry immunizations for child care
c19399d40a2e	unvaccinated child care attendance	can a child attend without shots
7785547423d3	report daycare to licensing	where do parents complain about a daycare
f56986064923	reportable incidents to parents	what must families be told about
24bd2b0d3487	continuous supervision rule	do staff have to watch children at all times
e02ed546ea89	leaving children alone rule	unsupervised children allowed or not
36094ffa9ac8	fire drill requirement summary	what does licensing require for fire drills
4c34b7ed9820	fire emergency procedure daycare	what should staff do in a daycare fire
0dd09088d692	written emergency plan required	does child care need a disaster plan
cc721b3bd905	playground fence height rule	how high must the outdoor fence be
7e77cf7b9b21	required background screening staff	child care employee background check rule
bd828572bbcf	fingerprinting rule for staff	do child care hires need fingerprints
82ad216ecb55	minimum worker age daycare	can a teenager work at daycare
c5de14f409cd	required staff trainings daycare	what classes must daycare staff take
73386fda6a08	ongoing training frequency	staff continuing education how often
751fe768907a	indoor square feet rule	per child indoor space requirement
6ab31d023460	shared cups or bottles infants allowed	can babies drink from each others bottles
0ec6a3acb3d7	breast milk daycare labeling and storage rule	how should expressed milk be labeled handled and stored
312f6b345f7a	formula permission from parent	can staff give formula without parent approval
5fe8d9598908	mixed ages in one group rules	rule for combining different age groups
445169fff0e7	bottle prep near diaper table rule	separation between formula prep and diaper area
a32b6450eef3	refrigerated foods list daycare	which daycare foods must stay cold
5d5504563e6d	raw meat fridge placement	where does raw meat go in storage
220fdcf0b1c9	bunk bed rule for daycare naps	can children use bunk beds in care
c2063543bcc4	bedding wash schedule	how often must child care bedding be laundered
01e73db75939	sleep wedges or positioners allowed	infant positioner rule in daycare
e6a767be9cae	child injury reporting daycare	what happens after a daycare injury
d41a1bfc7ddb	outbreak notification rule	do parents have to be told about illness outbreaks
5ba08d395c4f	food from home allowed at daycare	can parents send meals from home
e18d1a1798fd	food allergy plan daycare	how should daycare handle child food allergies
12ba3287ff87	infant food cut size rule	how small should finger foods be for infants
ddb74793102e	baby food piece size safety	choking prevention food size for babies
e1c8ae1ad62a	juice for infants allowed	can babies under twelve months have juice
451a20b1d383	age for juice babies	when is juice okay for babies
9a5fe74a8b83	safe water temperature for kids	how hot can sink water be for children
fbf57c02bdaf	max hot water temperature rule	highest water temp allowed in daycare
7e63516d91e8	daycare room temperature rule	how warm should the classroom be
3d5c21bc5853	required inside temperature child care	indoor climate rule for daycare
d5fe19825a9c	infant choking hazard examples	what cannot be around infants because of choking
6fb64cdf90f9	choking hazard object list	what objects are too small for kids
1d5d15984601	banned discipline methods	what discipline methods does licensing prohibit
fffd6efa394a	forbidden punishment at daycare	what punishment cannot be used on children
950da987738d	breast milk left out time limit	room temp breast milk discard timing
