# qaId	targeted11	targeted12	targeted13	targeted14	targeted15
950da987738d	can pumped breast milk stay on the counter at daycare	does breast milk have to go straight into the fridge at child care	if frozen breast milk is thawed how long can daycare keep it	how long after thawing can a daycare use breast milk	left out breast milk rule in child care
0ec6a3acb3d7	does expressed milk need the baby's name and the date on it	how should daycare label frozen breast milk	what information has to go on a breast milk container	breast milk labeling rule for child care	do providers refrigerate or freeze breast milk right away
103103c39659	where does daycare keep pumped milk during the day	is expressed breast milk stored in the refrigerator or freezer at child care	what place should staff keep breast milk while my child is there	where should providers put breast milk after dropoff	daycare storage location for pumped milk
4ac10461152a	how long can a formula bottle stay out at room temperature	when does daycare have to toss a prepared bottle	room temp formula bottle discard rule	baby bottle left on the table how long is it good	formula bottle one hour rule
2e430158ee7b	can daycare refrigerate the rest of a bottle after the baby drank from it	do they have to throw away a bottle once the child starts drinking it	partially used formula bottle save or dump rule	can a half used baby bottle go back in the fridge	leftover bottle after feeding does it have to be discarded
5108eb006a56	family home infant ratio when two staff are present	how many babies can a family home provider watch with a helper	in family child care with two staff what is the infant ratio	one family home licensee plus assistant how many infants	family home birth to twenty four months ratio
8307282bf05d	center infant classroom ratio how many babies per teacher	what is the infant ratio in a child care center	center rule for staff to infant ratio	in a center how many infants can one teacher supervise	infant room ratio for licensed centers
096eb1b0b855	what is the largest infant group allowed in a center	how many infants can be in one center classroom together	center infant room size limit	max babies in a center infant group	licensed center infant group cap
41543a55523a	working alone in family home how many ages three to twelve can i have	family child care capacity for older kids with one provider	max older children in a family home with one staff	one family home provider ages three through twelve capacity	family home child care working alone ten child rule
6e98e2bc67af	working alone in family child care how many school age kids can i care for	family home school age only capacity rule	max school agers for one family home provider	one family home provider school age children only limit	family home twelve school age children rule
31c75b4ed12d	when does family child care need a second staff member	how many children trigger two staff in a family home	if there are babies in care when is a second provider required	family home staffing rule for child mix	when must two staff be present in family child care
0cb3bf89aebc	center school age ratio how many children per teacher	in a center what is the school age ratio	licensed center rule for school age staff ratio	how many school age kids can one center teacher supervise	center school age one to fifteen rule
183c78dc9649	does child care have to schedule outdoor play every day	is daily outside play part of the daycare schedule	must daycare provide active outdoor play each day	are providers required to give kids outdoor play time daily	daily outdoor play rule for child care
853b9bb5954f	how much outdoor space does daycare need per child	on the playground how many square feet per child are required	required outdoor square footage for each child in care	daycare outdoor play area space per child	outdoor licensed usable space requirement per child
7522459dfed7	what kinds of active play must the outdoor area allow	does the outdoor play area have to support running and climbing	what physical activity does licensing expect in outdoor play space	outdoor play area activity requirements for daycare	does the playground have to support moderate and vigorous activity
ab741bbed5a1	if a child throws up twice do they have to go home	vomiting two times daycare exclusion rule	when does vomiting mean a child cannot stay in care	send home rule after repeated vomiting at daycare	two vomiting episodes in twenty four hours daycare
c19399d40a2e	can daycare take a child whose shots are not current	what if a child is behind on immunizations and wants to enroll	are kids without current vaccines allowed if there is a catch up plan	unvaccinated child admission rule for daycare	child care rule for not current immunizations
65d3b8c19725	can daycare give prescription medicine with written parent consent	is staff allowed to administer medication if the label says how	can child care providers give a prescribed dose to my child	parent permission and label rule for daycare medicine	general medication administration rule for child care
c46f964f5517	can daycare give melatonin to make my child sleep	is sedating medication allowed in child care	sleep medicine rule for daycare providers	can staff give a child medicine just to calm or sedate them	melatonin or sleep aid at daycare rule
fd51cd1e952e	what fever counts for a baby younger than two months	infant under two months fever cutoff in daycare	100 point 4 for a young infant at daycare is that a fever	baby under two months fever number for exclusion	infant fever rule versus older child fever rule
